weekday;dia;hora;periodo;demand
Thursday;24/10/2019;6;30;1
Thursday;24/10/2019;7;0;47
Thursday;24/10/2019;7;30;18
Thursday;24/10/2019;8;0;46
Thursday;24/10/2019;8;30;26
Thursday;24/10/2019;9;0;13
Thursday;24/10/2019;9;30;14
Thursday;24/10/2019;10;0;12
Thursday;24/10/2019;10;30;5
Thursday;24/10/2019;11;0;25
Thursday;24/10/2019;11;30;24
Thursday;24/10/2019;12;0;18
Thursday;24/10/2019;12;30;10
Thursday;24/10/2019;13;30;7
Thursday;24/10/2019;14;0;3
Thursday;24/10/2019;14;30;3
Thursday;24/10/2019;15;0;4
Thursday;24/10/2019;15;30;2
Thursday;24/10/2019;16;0;4
Thursday;24/10/2019;16;30;1
Thursday;24/10/2019;17;0;3
Friday;25/10/2019;7;0;51
Friday;25/10/2019;7;30;13
Friday;25/10/2019;8;0;26
Friday;25/10/2019;8;30;24
Friday;25/10/2019;9;0;29
Friday;25/10/2019;9;30;33
Friday;25/10/2019;10;0;15
Friday;25/10/2019;10;30;16
Friday;25/10/2019;11;0;18
Friday;25/10/2019;11;30;11
Friday;25/10/2019;12;0;10
Friday;25/10/2019;12;30;8
Friday;25/10/2019;13;0;7
Friday;25/10/2019;13;30;3
Friday;25/10/2019;14;0;3
Friday;25/10/2019;14;30;5
Friday;25/10/2019;15;0;2
Friday;25/10/2019;15;30;2
Friday;25/10/2019;16;0;5
Friday;25/10/2019;16;30;2
Friday;25/10/2019;17;0;2
Friday;25/10/2019;17;30;1
Saturday;26/10/2019;8;0;1
Saturday;26/10/2019;8;30;1
Saturday;26/10/2019;9;0;55
Saturday;26/10/2019;9;30;13
Saturday;26/10/2019;10;0;5
Saturday;26/10/2019;10;30;6
Saturday;26/10/2019;11;0;8
Saturday;26/10/2019;11;30;9
Saturday;26/10/2019;12;0;10
Saturday;26/10/2019;12;30;6
Saturday;26/10/2019;13;0;4
Saturday;26/10/2019;13;30;6
Saturday;26/10/2019;14;0;3
Saturday;26/10/2019;14;30;1
Saturday;26/10/2019;15;0;2
Saturday;26/10/2019;15;30;1
Monday;28/10/2019;7;0;18
Monday;28/10/2019;7;30;5
Monday;28/10/2019;8;0;16
Monday;28/10/2019;8;30;14
Monday;28/10/2019;9;0;12
Monday;28/10/2019;9;30;21
Monday;28/10/2019;10;0;10
Monday;28/10/2019;10;30;9
Monday;28/10/2019;11;0;4
Monday;28/10/2019;11;30;13
Monday;28/10/2019;12;0;10
Monday;28/10/2019;12;30;4
Monday;28/10/2019;13;0;3
Monday;28/10/2019;13;30;2
Monday;28/10/2019;14;0;4
Monday;28/10/2019;14;30;6
Monday;28/10/2019;15;0;2
Monday;28/10/2019;15;30;5
Monday;28/10/2019;16;0;2
Monday;28/10/2019;17;0;2
Tuesday;29/10/2019;6;30;17
Tuesday;29/10/2019;7;0;33
Tuesday;29/10/2019;7;30;9
Tuesday;29/10/2019;8;0;9
Tuesday;29/10/2019;8;30;19
Tuesday;29/10/2019;9;0;5
Tuesday;29/10/2019;9;30;5
Tuesday;29/10/2019;10;0;60
Tuesday;29/10/2019;10;30;8
Tuesday;29/10/2019;11;0;38
Tuesday;29/10/2019;11;30;23
Tuesday;29/10/2019;12;0;10
Tuesday;29/10/2019;12;30;35
Tuesday;29/10/2019;13;0;18
Tuesday;29/10/2019;13;30;22
Tuesday;29/10/2019;14;0;12
Tuesday;29/10/2019;14;30;8
Tuesday;29/10/2019;15;0;12
Tuesday;29/10/2019;15;30;10
Tuesday;29/10/2019;16;0;2
Tuesday;29/10/2019;16;30;2
Tuesday;29/10/2019;17;0;3
Tuesday;29/10/2019;17;30;1
Wednesday;30/10/2019;8;0;1
Wednesday;30/10/2019;8;30;35
Wednesday;30/10/2019;9;0;37
Wednesday;30/10/2019;9;30;13
Wednesday;30/10/2019;10;0;9
Wednesday;30/10/2019;10;30;2
Wednesday;30/10/2019;11;0;4
Wednesday;30/10/2019;11;30;44
Wednesday;30/10/2019;12;0;5
Wednesday;30/10/2019;12;30;3
Wednesday;30/10/2019;13;0;11
Wednesday;30/10/2019;13;30;9
Wednesday;30/10/2019;14;0;3
Wednesday;30/10/2019;14;30;4
Wednesday;30/10/2019;15;0;2
Wednesday;30/10/2019;15;30;2
Wednesday;30/10/2019;16;0;5
Wednesday;30/10/2019;16;30;2
Wednesday;30/10/2019;17;0;1
Thursday;31/10/2019;8;0;31
Thursday;31/10/2019;8;30;24
Thursday;31/10/2019;9;0;6
Thursday;31/10/2019;9;30;43
Thursday;31/10/2019;10;0;27
Thursday;31/10/2019;10;30;8
Thursday;31/10/2019;11;0;17
Thursday;31/10/2019;11;30;56
Thursday;31/10/2019;12;0;19
Thursday;31/10/2019;12;30;10
Thursday;31/10/2019;13;0;8
Thursday;31/10/2019;13;30;7
Thursday;31/10/2019;14;0;4
Thursday;31/10/2019;14;30;1
Thursday;31/10/2019;15;0;17
Thursday;31/10/2019;15;30;7
Thursday;31/10/2019;16;0;5
Thursday;31/10/2019;16;30;2
Thursday;31/10/2019;17;0;6
Thursday;31/10/2019;17;30;4
Thursday;31/10/2019;18;0;2
Friday;01/11/2019;6;30;2
Friday;01/11/2019;7;0;4
Friday;01/11/2019;8;0;17
Friday;01/11/2019;8;30;24
Friday;01/11/2019;9;0;66
Friday;01/11/2019;9;30;13
Friday;01/11/2019;10;0;14
Friday;01/11/2019;10;30;23
Friday;01/11/2019;11;0;25
Friday;01/11/2019;11;30;13
Friday;01/11/2019;12;0;7
Friday;01/11/2019;12;30;12
Friday;01/11/2019;13;0;4
Friday;01/11/2019;13;30;5
Friday;01/11/2019;14;0;9
Friday;01/11/2019;14;30;5
Friday;01/11/2019;15;0;3
Friday;01/11/2019;15;30;5
Friday;01/11/2019;16;30;4
Friday;01/11/2019;17;30;3
Friday;01/11/2019;18;0;1
Saturday;02/11/2019;8;0;5
Saturday;02/11/2019;8;30;23
Saturday;02/11/2019;9;0;5
Saturday;02/11/2019;9;30;3
Saturday;02/11/2019;10;0;26
Saturday;02/11/2019;10;30;7
Saturday;02/11/2019;11;0;3
Saturday;02/11/2019;11;30;20
Saturday;02/11/2019;12;0;8
Saturday;02/11/2019;12;30;9
Saturday;02/11/2019;13;0;3
Saturday;02/11/2019;13;30;5
Saturday;02/11/2019;14;30;2
Saturday;02/11/2019;15;0;1
Saturday;02/11/2019;15;30;1
Monday;04/11/2019;6;30;5
Monday;04/11/2019;7;0;3
Monday;04/11/2019;7;30;43
Monday;04/11/2019;8;0;49
Monday;04/11/2019;8;30;15
Monday;04/11/2019;9;0;17
Monday;04/11/2019;9;30;20
Monday;04/11/2019;10;0;17
Monday;04/11/2019;10;30;20
Monday;04/11/2019;11;0;11
Monday;04/11/2019;11;30;17
Monday;04/11/2019;12;0;20
Monday;04/11/2019;12;30;10
Monday;04/11/2019;13;0;10
Monday;04/11/2019;13;30;8
Monday;04/11/2019;14;0;4
Monday;04/11/2019;14;30;11
Monday;04/11/2019;15;0;14
Monday;04/11/2019;15;30;10
Monday;04/11/2019;16;0;3
Tuesday;05/11/2019;6;0;2
Tuesday;05/11/2019;6;30;1
Tuesday;05/11/2019;7;0;29
Tuesday;05/11/2019;7;30;49
Tuesday;05/11/2019;8;0;32
Tuesday;05/11/2019;8;30;12
Tuesday;05/11/2019;9;0;12
Tuesday;05/11/2019;9;30;30
Tuesday;05/11/2019;10;0;13
Tuesday;05/11/2019;10;30;11
Tuesday;05/11/2019;11;0;11
Tuesday;05/11/2019;11;30;15
